title,year,authors,key,ee,venue_category
Systematic Approach to Engineer Decentralized Self-adaptive Systems.,2020,Federico Quin,conf/ecsa/Quin20,https://doi.org/10.1007/978-3-030-59155-7_4,Software_Architecture
BLOC: Balancing Load with Overload Control In the Microservices Architecture.,2022,Ratnadeep Bhattacharya & Timothy Wood 0001,conf/acsos/BhattacharyaW22,https://doi.org/10.1109/ACSOS55765.2022.00027,Self-Adaptive_Systems
Self-Healing for Distributed Workflows in the Internet of Things.,2017,Ronny Seiger & Stefan Herrmann & Uwe Aßmann,conf/icsa/SeigerHA17,https://doi.org/10.1109/ICSAW.2017.36,Software_Architecture
ADAPT: An auxiliary storage data path toolkit.,2021,Weisu Wang & Christopher R. Meyers & Robert Roy & Sarah M. Diesburg & An-I Andy Wang,journals/jsa/WangMRDW21,https://doi.org/10.1016/j.sysarc.2020.101902,Software_Architecture
The Computational Complexity of Designing Scalar-Field Sensing Robot Teams and Environments for Distributed Construction (Extended Abstract).,2021,Todd Wareham & Andrew Vardy,conf/acsos/WarehamV21,https://doi.org/10.1109/ACSOS-C52956.2021.00059,Self-Adaptive_Systems
Adapting Rapid Motor Adaptation for Bipedal Robots.,2022,Ashish Kumar & Zhongyu Li & Jun Zeng & Deepak Pathak & Koushil Sreenath & Jitendra Malik,conf/iros/KumarLZPSM22,https://doi.org/10.1109/IROS47612.2022.9981091,Robotics
How far should I watch? Quantifying the effect of various observational capabilities on long-range situational awareness in multi-robot teams.,2020,Sehyeok Kang & Taeyeong Choi & Theodore P. Pavlic,conf/acsos/KangCP20,https://doi.org/10.1109/ACSOS49614.2020.00036,Self-Adaptive_Systems
Demonstrating a Runtime Machine-Centric Emergent Software Architecture Framework.,2016,Roberto Rodrigues Filho & Barry Porter,conf/icac/FilhoP16a,https://doi.org/10.1109/ICAC.2016.35,Self-Adaptive_Systems
A Domain-Specific Language for Autonomic Managers in FPGA Reconfigurable Architectures.,2018,Soguy Mak Karé Gueye & Gwenaël Delaval & Éric Rutten & Dominique Heller & Jean-Philippe Diguet,conf/icac/GueyeDRHD18,https://doi.org/10.1109/ICAC.2018.00021,Self-Adaptive_Systems
Knowledge-Based Grasp Planning Using Dynamic Self-Organizing Network.,2020,Shiyi Yang & Soo Jeon,conf/iros/YangJ20,https://doi.org/10.1109/IROS45743.2020.9340959,Robotics
RoleDiSCo: A Middleware Architecture and Implementation for Coordinated On-Demand Composition of Smart Service Systems in Decentralized Environments.,2017,Markus Wutzler & Thomas Springer 0001 & Alexander Schill,conf/saso/WutzlerSS17,http://doi.ieeecomputersociety.org/10.1109/FAS-W.2017.118,Self-Adaptive_Systems
Viewpoint-Based Methodology for Adaption of Automotive E/E-Architectures.,2018,Philipp Obergfell & Florian Oszwald & Matthias Traub & Eric Sax,conf/icsa/ObergfellOTS18,https://doi.org/10.1109/ICSA-C.2018.00041,Software_Architecture
Temporal Anticipation and Adaptation Methods for Fluent Human-Robot Teaming.,2021,Tariq Iqbal & Laurel D. Riek,conf/icra/IqbalR21,https://doi.org/10.1109/ICRA48506.2021.9561763,Robotics
Generating Adaptive Attending Behaviors using User State Classification and Deep Reinforcement Learning.,2018,Yoshiki Kohari & Jun Miura & Shuji Oishi,conf/iros/KohariMO18,https://doi.org/10.1109/IROS.2018.8594427,Robotics
Emotional robot control architecture implementation using FPGAs.,2017,Carlos Domínguez & Houcine Hassan & Alfons Crespo,journals/jsa/DominguezHC17,https://doi.org/10.1016/j.sysarc.2016.08.004,Software_Architecture
A Generic Holonic Control Architecture for Heterogeneous Multiscale and Multiobjective Smart Microgrids.,2015,Sylvain Frey & Ada Diaconescu & David Menga & Isabelle M. Demeure,journals/taas/FreyDMD15,https://doi.org/10.1145/2700326,Self-Adaptive_Systems
Distributed Multirobot Formation and Tracking Control in Cluttered Environments.,2016,Muhammad Umer Khan & Shuai Li 0002 & Qixin Wang & Zili Shao,journals/taas/KhanLWS16,https://doi.org/10.1145/2910584,Self-Adaptive_Systems
Drift-Free and Self-Aligned IMU-Based Human Gait Tracking System With Augmented Precision and Robustness.,2020,Yawen Chen 0003 & Chenglong Fu 0001 & Winnie Suk Wai Leung & Ling Shi,journals/ral/ChenFLS20,https://doi.org/10.1109/LRA.2020.3002203,Robotics
Model-Based Architecture Optimization for Self-Adaptive Networked Signal Processing Systems.,2014,Cornelis Jan van Leeuwen & J. M. de Gier & Julio A. de Oliveira Filho & Zoltán Papp,conf/saso/LeeuwenGFP14,https://doi.org/10.1109/SASO.2014.37,Self-Adaptive_Systems
Probabilistic Safety-Assured Adaptive Merging Control for Autonomous Vehicles.,2021,Yiwei Lyu & Wenhao Luo & John M. Dolan,conf/icra/LyuLD21,https://doi.org/10.1109/ICRA48506.2021.9561894,Robotics
Towards a Plug-In Architecture to Enable Self-Adaptation through Middleware.,2021,Sharmin Jahan & Ian Riley & Alonzo Sabino & Rose F. Gamble,conf/acsos/JahanRSG21,https://doi.org/10.1109/ACSOS-C52956.2021.00054,Self-Adaptive_Systems
A learning-based shared control architecture for interactive task execution.,2017,Firas Abi-Farraj & Takayuki Osa & Nicolo Pedemonte & Jan Peters 0001 & Gerhard Neumann & Paolo Robuffo Giordano,conf/icra/Abi-FarrajOPPNG17,https://doi.org/10.1109/ICRA.2017.7989042,Robotics
