hit num,title,year,authors,key,ee,venue_category
513,Agile Legged-Wheeled Reconfigurable Navigation Planner Applied on the CENTAURO Robot.,2020,Vignesh Sushrutha Raghavan & Dimitrios Kanoulas & Darwin G. Caldwell & Nikos G. Tsagarakis,conf/icra/RaghavanKCT20,https://doi.org/10.1109/ICRA40945.2020.9197407,Robotics
515,Panthera: Design of a Reconfigurable Pavement Sweeping Robot.,2019,Abdullah Aamir Hayat & Rizuwana Parween & Mohan Rajesh Elara & K. Parsuraman & Prathap S. Kandasamy,conf/icra/HayatPEPK19,https://doi.org/10.1109/ICRA.2019.8794268,Robotics
518,Dynamically Reconfigurable Discrete Distributed Stiffness for Inflated Beam Robots.,2020,Brian H. Do & Valory Banashek & Allison M. Okamura,conf/icra/DoBO20,https://doi.org/10.1109/ICRA40945.2020.9197237,Robotics
546,MOCA-MAN: A MObile and reconfigurable Collaborative Robot Assistant for conjoined huMAN-robot actions.,2020,Wansoo Kim & Pietro Balatti & Edoardo Lamon & Arash Ajoudani,conf/icra/KimBLA20,https://doi.org/10.1109/ICRA40945.2020.9197115,Robotics
587,An underwater reconfigurable robot with bioinspired electric sense.,2012,Stefano Mintchev & Cesare Stefanini & Alexis Girin & Stefano Marrazza & Stefano Orofino & Vincent Lebastard & Luigi Manfredi & Paolo Dario & Frédéric Boyer,conf/icra/MintchevSGMOLMDB12,https://doi.org/10.1109/ICRA.2012.6224956,Robotics
626,ARCSnake: An Archimedes' Screw-Propelled; Reconfigurable Serpentine Robot for Complex Environments.,2020,Dimitri A. Schreiber & Florian Richter 0002 & Andrew Bilan & Peter V. Gavrilov & Hoi Man Lam & Casey H. Price & Kalind C. Carpenter & Michael C. Yip,conf/icra/SchreiberRBGLPC20,https://doi.org/10.1109/ICRA40945.2020.9196968,Robotics
632,Evaluation of the reconfiguration effects of planetary rovers on their lateral traversing of sandy slopes.,2012,Hiroaki Inotsume & Masataku Sutoh & Kenji Nagaoka & Keiji Nagatani & Kazuya Yoshida,conf/icra/InotsumeSNNY12,https://doi.org/10.1109/ICRA.2012.6224887,Robotics
645,A Reconfigurable Variable Stiffness Manipulator by a Sliding Layer Mechanism.,2019,Dickson Chun Fung Li & Zerui Wang & Bo Ouyang & Yun-Hui Liu,conf/icra/LiWOL19,https://doi.org/10.1109/ICRA.2019.8793571,Robotics
651,Linear Heterogeneous Reconfiguration of Cubic Modular Robots via Simultaneous Tunneling and Permutation.,2019,Hiroshi Kawano,conf/icra/Kawano19,https://doi.org/10.1109/ICRA.2019.8793594,Robotics
652,Reconfiguration planning for pivoting cube modular robots.,2015,Cynthia R. Sung & James M. Bern & John Romanishin & Daniela Rus,conf/icra/SungBRR15,https://doi.org/10.1109/ICRA.2015.7139451,Robotics
655,Reconfigurable Inflated Soft Arms.,2023,Nam Gyun Kim & Jee-Hwan Ryu,conf/icra/KimR23,https://doi.org/10.1109/ICRA48891.2023.10160569,Robotics
679,Parallel Permutation for Linear Full-resolution Reconfiguration of Heterogeneous Sliding-only Cubic Modular Robots.,2020,Hiroshi Kawano,conf/icra/Kawano20,https://doi.org/10.1109/ICRA40945.2020.9197033,Robotics
680,Smooth joint motion planning for high precision reconfigurable robot manipulators.,2017,Stefano Baraldo & Anna Valente,conf/icra/BaraldoV17,https://doi.org/10.1109/ICRA.2017.7989103,Robotics
702,A reconfigurable hybrid actuator with rigid and soft components.,2017,Yaohui Chen & Sing Le & Qiao Chu Tan & Oscar Lau & Fang Wan & Chaoyang Song,conf/icra/ChenLTLWS17,https://doi.org/10.1109/ICRA.2017.7988691,Robotics
737,Safe decentralized and reconfigurable multi-agent control with guaranteed convergence.,2017,Constantinos Vrohidis & Charalampos P. Bechlioulis & Kostas J. Kyriakopoulos,conf/icra/VrohidisBK17,https://doi.org/10.1109/ICRA.2017.7989034,Robotics
744,Path Planning for a Reconfigurable Robot in Extreme Environments.,2021,Wei Cheah & Tomas B. Garcia-Nathan & Keir Groves & Simon Watson 0001 & Barry Lennox,conf/icra/CheahGG0L21,https://doi.org/10.1109/ICRA48506.2021.9561834,Robotics
745,Singularity analysis and reconfiguration mode of the 3-CRS parallel manipulator.,2020,Chedli Bouzgarrou & Adrien Koessler & Nicolas Bouton,conf/icra/BouzgarrouKB20,https://doi.org/10.1109/ICRA40945.2020.9197337,Robotics
760,A Reconfigurable Industry 4.0 Middleware Software Architecture.,2023,Sune Chung Jepsen & Bende Siewertsen & Torben Worm,conf/icsa/JepsenSW23,https://doi.org/10.1109/ICSA-C57050.2023.00023,Software_Architecture
766,Synchronous Reconfiguration of Distributed Embedded Applications During Operation.,2019,Kilian Telschig & Alexander Knapp,conf/icsa/TelschigK19,https://doi.org/10.1109/ICSA.2019.00021,Software_Architecture
778,Safe Dynamic Reconfiguration of Concurrent Component-based Applications.,2022,Salman Farhat & Simon Bliudze & Laurence Duchien,conf/icsa/FarhatBD22,https://doi.org/10.1109/ICSA-C54293.2022.00027,Software_Architecture
822,A Consistency Framework for Dynamic Reconfiguration in AO-Middleware Architectures.,2014,Bholanathsingh Surajbali & Paul Grace & Geoff Coulson,conf/ecsa/SurajbaliGC14,https://doi.org/10.1007/978-3-319-09970-5_34,Software_Architecture
835,High-Level Language Support for Reconfiguration Control in Component-Based Architectures.,2015,Frederico Alvares & Éric Rutten & Lionel Seinturier,conf/ecsa/AlvaresRS15,https://doi.org/10.1007/978-3-319-23727-5_1,Software_Architecture
837,Retrofitting Controlled Dynamic Reconfiguration into the Architecture Description Language MontiArcAutomaton.,2016,Robert Heim & Oliver Kautz & Jan Oliver Ringert & Bernhard Rumpe & Andreas Wortmann 0001,conf/ecsa/HeimKRRW16,https://doi.org/10.1007/978-3-319-48992-6_13,Software_Architecture
840,Assisting the evolutionary development of SoS with reconfiguration patterns.,2016,Franck Petitdemange & Isabelle Borne & Jérémy Buisson,conf/ecsa/PetitdemangeBB16,http://dl.acm.org/citation.cfm?id=3004845,Software_Architecture
867,Modeling and Execution of Coordinated Missions in Reconfigurable Robot Ensembles.,2020,Martin Schörner & Constantin Wanninger & Alwin Hoffmann & Oliver Kosak & Hella Ponsar & Wolfgang Reif,conf/irc/SchornerWHKPR20,https://doi.org/10.1109/IRC.2020.00053,Robotics
872,Runtime reconfiguration of robot control systems: a ROS-based case study.,2020,Davide Brugali,conf/irc/Brugali20,https://doi.org/10.1109/IRC.2020.00047,Robotics
885,Model-Based Development of QoS-Aware Reconfigurable Autonomous Robotic Systems.,2018,Davide Brugali & Rafael Capilla & Raffaela Mirandola & Catia Trubiani,conf/irc/BrugaliCMT18,https://doi.org/10.1109/IRC.2018.00027,Robotics
886,Robust reconfiguration of cloud applications.,2014,Francisco Durán 0001 & Gwen Salaün,conf/cbse/DuranS14,https://doi.org/10.1145/2602458.2602479,Software_Architecture
887,A Reconfigurable Component Model for HPC.,2015,Vincent Lanore & Christian Pérez,conf/cbse/LanoreP15,https://doi.org/10.1145/2737166.2737169,Software_Architecture
888,Coqcots & pycots: non-stopping components for safe dynamic reconfiguration.,2014,Jérémy Buisson & Everton Cavalcante & Fabien Dagnat & Elena Leroux & Sébastien Martinez,conf/cbse/BuissonCDLM14,https://doi.org/10.1145/2602458.2602459,Software_Architecture
890,An architectural approach to ensure globally consistent dynamic reconfiguration of component-based systems.,2012,Mohammad Ghafari & Pooyan Jamshidi & Saeed Shahbazi & Hassan Haghighi,conf/cbse/GhafariJSH12,https://doi.org/10.1145/2304736.2304765,Software_Architecture
891,Executing reconfigurations in hierarchical component architectures.,2013,Christian Heinzemann & Steffen Becker 0001,conf/cbse/HeinzemannB13,https://doi.org/10.1145/2465449.2465452,Software_Architecture
893,KevoreeJS: Enabling Dynamic Software Reconfigurations in the Browser.,2016,Maxime Tricoire & Olivier Barais & Manuel Leduc & François Fouquet & Gerson Sunyé & Brice Morin & Johann Bourcier & Grégory Nain & Ludovic Mouline,conf/cbse/TricoireBLFSMBN16,https://doi.org/10.1109/CBSE.2016.20,Software_Architecture
894,Towards Safe Execution of Reconfigurations in Cyber-Physical Systems.,2016,David Schubert & Christian Heinzemann & Christopher Gerking,conf/cbse/SchubertHG16,https://doi.org/10.1109/CBSE.2016.10,Software_Architecture
895,Towards modeling reconfiguration in hierarchical component architectures.,2012,Christian Heinzemann & Claudia Priesterjahn & Steffen Becker 0001,conf/cbse/HeinzemannPB12,https://doi.org/10.1145/2304736.2304742,Software_Architecture
896,Using a model to generate reconfiguration plans at runtime.,2014,Marco Eugênio Madeira Di Beneditto & Cláudia Maria Lima Werner,conf/cbse/BenedittoW14,https://doi.org/10.1145/2602458.2602466,Software_Architecture
897,AO-OpenCom: an AO-middleware architecture supporting flexible dynamic reconfiguration.,2014,Bholanathsingh Surajbali & Paul Grace & Geoff Coulson,conf/cbse/SurajbaliGC14,https://doi.org/10.1145/2602458.2602472,Software_Architecture
929,Supporting ARINC 653-based Dynamic Reconfiguration.,2012,Víctor López-Jaquero & Francisco Montero Simarro & Elena Navarro 0001 & Antonio Esparcia & José Antonio Catalán,conf/wicsa/Lopez-JaqueroMNEC12,https://doi.org/10.1109/WICSA-ECSA.212.9,Software_Architecture
944,Carpie: A soft; mechanically-reconfigurable worm robot.,2019,Pouya Ahmadian & Rainier F. Natividad & Chen-Hua Yeow,conf/iros/AhmadianNY19,https://doi.org/10.1109/IROS40897.2019.8968305,Robotics
979,On Robotic Manipulation of Flexible Flat Cables: Employing a Multi-Modal Gripper with Dexterous Tips; Active Nails; and a Reconfigurable Suction Cup Module.,2022,Joao Buzzatto & Jayden Chapman & Mojtaba Shahmohammadi & Felipe Sanches & Mahla Nejati & Saori Matsunaga & Rintaro Haraguchi & Toshisada Mariyama & Bruce A. MacDonald & Minas V. Liarokapis,conf/iros/BuzzattoCSSNMHM22,https://doi.org/10.1109/IROS47612.2022.9981313,Robotics
990,Interactive null space control for intuitively interpretable reconfiguration of redundant manipulators.,2017,Nico Mansfeld & Fabian Beck 0002 & Alexander Dietrich & Sami Haddadin,conf/iros/Mansfeld0DH17,https://doi.org/10.1109/IROS.2017.8206432,Robotics
1019,Reconfiguring Metamorphic Robots via SMT: Is It a Viable Way?,2021,Jan Mrázek & Martin Jonás & Jiri Barnat,conf/iros/MrazekJB21,https://doi.org/10.1109/IROS51168.2021.9636534,Robotics
1044,Cooperative transportation of a payload using quadrotors: A reconfigurable cable-driven parallel robot.,2016,Carlo Masone & Heinrich H. Bülthoff & Paolo Stegagno,conf/iros/MasoneBS16,https://doi.org/10.1109/IROS.2016.7759262,Robotics
1047,HexaMorph: A reconfigurable and foldable hexapod robot inspired by origami.,2014,Wei Gao & Ke Huo & Jasjeet Singh Seehra & Karthik Ramani & Raymond J. Cipra,conf/iros/GaoHSRC14,https://doi.org/10.1109/IROS.2014.6943214,Robotics
1070,Reconfigurable intelligent space; R+iSpace; and mobile module; MoMo.,2012,JongSeung Park & Joo-Ho Lee 0001,conf/iros/ParkL12,https://doi.org/10.1109/IROS.2012.6386282,Robotics
1072,Motion planning for continuum reconfigurable incisionless surgical parallel robots.,2017,Alan Kuntz & Arthur W. Mahoney & Nicolas E. Peckman & Patrick L. Anderson & Fabien Maldonado & Robert J. Webster III & Ron Alterovitz,conf/iros/KuntzMPAMWA17,https://doi.org/10.1109/IROS.2017.8206553,Robotics
1084,Htetran - A Polyabolo Inspired Self Reconfigurable Tiling Robot.,2019,Veerajagadheswar Prabakaran & Vinu Sivanantham & Manojkumar Devarassu & Mohan Rajesh Elara,conf/iros/PrabakaranSDE19,https://doi.org/10.1109/IROS40897.2019.8967832,Robotics
1106,Rotor Array Synergies for Aerial Modular Reconfigurable Robots.,2022,Benjamin Moshirian & Pauline E. I. Pounds,conf/iros/MoshirianP22,https://doi.org/10.1109/IROS47612.2022.9982034,Robotics
1131,The ARoA Platform: An Autonomous Robotic Assistant with a Reconfigurable Torso System and Dexterous Manipulation Capabilities.,2021,Gal Gorjup & Che-Ming Chang & Geng Gao & Lucas Gerez & Anany Dwivedi & Ruobing Yu & Patrick Jarvis & Minas V. Liarokapis,conf/iros/GorjupCGGDYJL21,https://doi.org/10.1109/IROS51168.2021.9636604,Robotics
1147,Snapbot V2: a Reconfigurable Legged Robot with a Camera for Self Configuration Recognition.,2020,Kevin G. Gim & Joohyung Kim,conf/iros/GimK20,https://doi.org/10.1109/IROS45743.2020.9341279,Robotics
1148,ReBiS - Reconfigurable Bipedal Snake robot.,2014,Rohan Thakker & Ajinkya Kamat & Sachin Bharambe & Shital S. Chiddarwar & K. M. Bhurchandi,conf/iros/ThakkerKBCB14,https://doi.org/10.1109/IROS.2014.6942577,Robotics
1150,Study of reconfigurable suspended cable-driven parallel robots for airplane maintenance.,2014,Dinh Quan Nguyen & Marc Gouttefarde,conf/iros/NguyenG14,https://doi.org/10.1109/IROS.2014.6942781,Robotics
1159,Autonomous model-based assessment of mechanical failures of reconfigurable modular robots with a Conjugate Gradient solver.,2020,Pawel Holobut & Stéphane P. A. Bordas & Jakub Lengiewicz,conf/iros/HolobutBL20,https://doi.org/10.1109/IROS45743.2020.9341232,Robotics
1218,Monitoring of robot path tracking: Reconfiguration strategy design and experimental validation.,2013,Samir Benmoussa & Rui Loureiro & Youcef Touati 0002 & Rochdi Merzouki,conf/iros/BenmoussaLTM13,https://doi.org/10.1109/IROS.2013.6697199,Robotics
1234,Connected Reconfiguration of Polyominoes Amid Obstacles using RRT.,2022,Javier Garcia & Michael Yannuzzi & Peter Kramer 0001 & Christian Rieck & Aaron T. Becker,conf/iros/GarciaYKRB22,https://doi.org/10.1109/IROS47612.2022.9981184,Robotics
1236,Collision-Free Reconfiguration Planning for Variable Topology Trusses Using a Linking Invariant.,2023,Alexander Spinos & Mark Yim,conf/iros/SpinosY23,https://doi.org/10.1109/IROS55552.2023.10341927,Robotics
1256,Online Complete Coverage Path Planning of a Reconfigurable Robot using Glasius Bio-inspired Neural Network and Genetic Algorithm.,2022,S. M. Bhagya P. Samarakoon & M. A. Viraj J. Muthugala & Mohan Rajesh Elara,conf/iros/SamarakoonME22,https://doi.org/10.1109/IROS47612.2022.9981667,Robotics
1281,Role of compliance on the locomotion of a reconfigurable modular snake robot.,2015,Massimo Vespignani & Kamilo Melo & Stéphane Bonardi & Auke Jan Ijspeert,conf/iros/VespignaniMBI15,https://doi.org/10.1109/IROS.2015.7353677,Robotics
1283,Automatic centralized controller design for modular and reconfigurable robot manipulators.,2015,Andrea Giusti & Matthias Althoff,conf/iros/GiustiA15,https://doi.org/10.1109/IROS.2015.7353831,Robotics
1322,Hands-on reconfigurable robotic surgical instrument holder arm.,2016,Piyamate Wisanuvej & Konrad Leibrandt & Jindong Liu & Guang-Zhong Yang,conf/iros/WisanuvejLLY16,https://doi.org/10.1109/IROS.2016.7759385,Robotics
1380,Complete reconfiguration algorithm for sliding cube-shaped modular robots with only sliding motion primitive.,2015,Hiroshi Kawano,conf/iros/Kawano15,https://doi.org/10.1109/IROS.2015.7353832,Robotics
1382,Grasping with Embedded Synergies through a Reconfigurable Electric Actuation Topology.,2021,Éamon Barrett & Zeyu Ren & Nikos G. Tsagarakis,conf/iros/BarrettRT21,https://doi.org/10.1109/IROS51168.2021.9636074,Robotics
1399,Decentralized Pose Control of Modular Reconfigurable Robots Operating in Liquid Environments.,2019,João V. Amorim Marques & Anil Özdemir & Matthew J. Doyle & Daniela Rus & Roderich Groß,conf/iros/MarquesODRG19,https://doi.org/10.1109/IROS40897.2019.8967698,Robotics
1411,Visuospatial skill learning for object reconfiguration tasks.,2013,Seyed Reza Ahmadzadeh & Petar Kormushev & Darwin G. Caldwell,conf/iros/AhmadzadehKC13,https://doi.org/10.1109/IROS.2013.6696425,Robotics
1412,Snapbot: A reconfigurable legged robot.,2017,Joohyung Kim & Alexander Alspach & Katsu Yamane,conf/iros/KimAY17,https://doi.org/10.1109/IROS.2017.8206477,Robotics
1427,Set-point Control for a Ground-based Reconfigurable Robot.,2022,Wei Cheah & Bruno Vilhena Adorno & Simon Watson 0001 & Barry Lennox,conf/iros/CheahA0L22,https://doi.org/10.1109/IROS47612.2022.9981358,Robotics
1457,Planning high-visibility stable paths for reconfigurable robots on uneven terrain.,2012,Mohammad Norouzi 0001 & Jaime Valls Miró & Gamini Dissanayake,conf/iros/NorouziMD12,https://doi.org/10.1109/IROS.2012.6385821,Robotics
1462,A Reconfigurable Interface for Ergonomic and Dynamic Tele-Locomanipulation.,2021,Soheil Gholami & Francesco Tassi & Elena De Momi & Arash Ajoudani,conf/iros/GholamiTMA21,https://doi.org/10.1109/IROS51168.2021.9636775,Robotics
1463,Online System Identification Algorithm without Persistent Excitation for Robotic Systems: Application to Reconfigurable Autonomous Vessels.,2019,Erkan Kayacan & Shinkyu Park & Carlo Ratti & Daniela Rus,conf/iros/KayacanPRR19,https://doi.org/10.1109/IROS40897.2019.8968461,Robotics
1465,A Multi-Modal Robotic Gripper with a Reconfigurable Base: Improving Dexterous Manipulation without Compromising Grasping Efficiency.,2021,Nathan Elangovan & Lucas Gerez & Geng Gao & Minas V. Liarokapis,conf/iros/ElangovanGGL21,https://doi.org/10.1109/IROS51168.2021.9636392,Robotics
1484,Two-Stage Optimization of a Reconfigurable Asymmetric 6-DOF Haptic Robot for Task-Specific Workspace.,2021,Changqi Zhang & Congzhe Wang & Qing Miao & Mingming Zhang 0001,conf/iros/ZhangWMZ21,https://doi.org/10.1109/IROS51168.2021.9636251,Robotics
1493,Reconfigurable parallel continuum robots for incisionless surgery.,2016,Arthur W. Mahoney & Patrick L. Anderson & Philip J. Swaney & Fabien Maldonado & Robert J. Webster III,conf/iros/MahoneyASMW16,https://doi.org/10.1109/IROS.2016.7759637,Robotics
1511,Reconfigurable Soft Flexure Hinges via Pinched Tubes.,2020,Yuhao Jiang & Mohammad Sharifzadeh & Daniel M. Aukes,conf/iros/JiangSA20,https://doi.org/10.1109/IROS45743.2020.9341109,Robotics
1552,ModLock: A manual connector for reconfigurable modular robots.,2012,Jay Davey & Jimmy Sastra & Matt Piccoli & Mark Yim,conf/iros/DaveySPY12,https://doi.org/10.1109/IROS.2012.6386190,Robotics
1557,Balloon Animal Robots: Reconfigurable Isoperimetric Inflated Soft Robots.,2021,Anthony D. Stuart & Zachary M. Hammond & Sean Follmer,conf/iros/StuartHF21,https://doi.org/10.1109/IROS51168.2021.9635842,Robotics
1558,In-Hand Cube Reconfiguration: Simplified.,2023,Sumit Patidar & Adrian Sieler & Oliver Brock,conf/iros/PatidarSB23,https://doi.org/10.1109/IROS55552.2023.10341521,Robotics
1564,Slope traversability analysis of reconfigurable planetary rovers.,2012,Hiroaki Inotsume & Masataku Sutoh & Kenji Nagaoka & Keiji Nagatani & Kazuya Yoshida,conf/iros/InotsumeSNNY12,https://doi.org/10.1109/IROS.2012.6386044,Robotics
